('40', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.5921995401173622)
('46', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', 0.436246883348273)
('26', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.2659337517431816)
('33', 'f24c64167f428f2d20d5061a6d43aee70c240a99', 0.24956232307520593)
('15', '244509aac22ddabb6387f39e096addae57566364', 0.11235534110210271)
('46', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', 0.09047750357669655)
('11', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.07707024413126451)
('25', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', 0.07434768137745143)
('94', '3af7a3cbe6de49295a55522f7ee816f778434103', 0.07336172154737482)
('25', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.06533619801651316)
('13', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.05293143821570001)
('11', '244509aac22ddabb6387f39e096addae57566364', 0.05019965213120272)
('21', '505eb12b432dd90cd9b08950c5cee0f52bc5c2fc', 0.04752626637138849)
('13', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.04229923706962017)
('11', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.04011574829415595)
('11', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.03483914945248081)
('12', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.02992600824069737)
('37', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', 0.025959293427517172)
('13', '611c96961b624871f0f09fea0588f7d2b0a54143', 0.017672329529681514)
('12', '630c877f62083f44e06a6d9207cf76ac25bf0f27', 0.01639534489419812)
('12', '09028b5e790426bc5980d5b3dcd4b5fe76f34b33', 0.015851290522415094)
('12', 'f225bdf3faabc0748177d3a5a54e77928b387f02', 0.0077167651494551535)
('36', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.002935928151961678)
('37', '2d2a44f9e856b8469aaa4407be8232c78e83afc3', 0.0026004093461833543)
('21', 'a50baea31ca8e11e7f69e88a887791df6c247655', 0.0015709229339932343)
('12', '244509aac22ddabb6387f39e096addae57566364', 0.0006343918285985044)
('45', 'a24e18d7ce0e7c585b1338d621030b1481eb2c62', -0.0005387512158373546)
('36', '88bf84d7a38faf5598f457ef0dbcee25e60a245c', -0.0016611505620419932)
('11', 'f225bdf3faabc0748177d3a5a54e77928b387f02', -0.0027655616299314405)
('37', 'b92a61df4c488647ff64d85b8381a39e996bcb54', -0.005896843516625559)
('36', 'b92a61df4c488647ff64d85b8381a39e996bcb54', -0.006169328029523365)
('45', '7cbf2b86194c3b26318ae1d6cac0696bb316e816', -0.007456690512616469)
('10', 'dd13f5b7c842f0a70158c46f051be2036f7b10ab', -0.02799116861881111)
('21', 'adb9f2dce99aef5b4eb1ab15ff70638aa19f9411', -0.04346376373763457)
